,en,ru
YELLOW_LIGHTNING_BREAK_5,"Normal attacks have 40% chance to deal yellow damage and inflict Closure(30%) for 4 turns.","Обычные атаки имеют 40% шанс нанести желтый урон и наложить Замыкание(30%) на 4 хода."
Passive: Lightning Break,Passive: Lightning Break,Пассивный Навык: Молниеносный Пролом
Lightning Break,Lightning Break,Молниеносный Пролом
Yellow_Lightning_Break,Lightning Break,Молниеносный Пролом
YELLOW_FAST_REACTION_1,"After successful dodge deal yellow damage(50% ATK) to the attacker.","После успешного уклонения нанесите желтый урон(50% ATK) атакующему."
YELLOW_FAST_REACTION_2,"After successful dodge deal yellow damage(60% ATK) to the attacker.","После успешного уклонения нанесите желтый урон(60% ATK) атакующему."
YELLOW_FAST_REACTION_3,"After successful dodge deal yellow damage(70% ATK) to the attacker.","После успешного уклонения нанесите желтый урон(70% ATK) атакующему."
YELLOW_FAST_REACTION_4,"After successful dodge deal yellow damage(80% ATK) to the attacker.","После успешного уклонения нанесите желтый урон(80% ATK) атакующему."
YELLOW_FAST_REACTION_5,"After successful dodge deal yellow damage(100% ATK) to the attacker.","После успешного уклонения нанесите желтый урон(100% ATK) атакующему."
Passive: Fast Reaction,Passive: Fast Reaction,Пассивный Навык: Быстрое Реагирование
Fast Reaction,Fast Reaction,Быстрое Реагирование
Yellow_Fast_Reaction,Fast Reaction,Быстрое Реагирование
YELLOW_BALANCED_INSTABILITY_1,"SEN and ATK +6 for 3 turns.\nFor the next 3 turns at the start of the turn and when you use this skill randomly gain 1-2 more actions.","SEN и ATK +6 на 3 хода.\nВ течение следующих 3 ходов в начале каждого хода и когда вы используете этот навык вы получаете случайно на 1-2 больше действий."
YELLOW_BALANCED_INSTABILITY_2,"SEN and ATK +8 for 3 turns.\nFor the next 3 turns at the start of the turn and when you use this skill randomly gain 1-3 more actions.","SEN и ATK +8 на 3 хода.\nВ течение следующих 3 ходов в начале каждого хода и когда вы используете этот навык вы получаете случайно на 1-3 больше действий."
YELLOW_BALANCED_INSTABILITY_3,"SEN and ATK +11 for 4 turns.\nFor the next 4 turns at the start of the turn and when you use this skill randomly gain 2-4 more actions.","SEN и ATK +11 на 3 хода.\nВ течение следующих 4 ходов в начале каждого хода и когда вы используете этот навык вы получаете случайно на 2-4 больше действий."
YELLOW_BALANCED_INSTABILITY_4,"SEN and ATK +15 for 4 turns.\nFor the next 4 turns at the start of the turn and when you use this skill randomly gain 2-5 more actions.","SEN и ATK +15 на 3 хода.\nВ течение следующих 4 ходов в начале каждого хода и когда вы используете этот навык вы получаете случайно на 2-5 больше действий."
YELLOW_BALANCED_INSTABILITY_5,"SEN and ATK +20 for 5 turns.\nFor the next 5 turns at the start of the turn and when you use this skill randomly gain 3-5 more actions.","SEN и ATK +20 на 3 хода.\nВ течение следующих 5 ходов в начале каждого хода и когда вы используете этот навык вы получаете случайно на 3-5 больше действий."
Ultimate: Balanced Instability,Ultimate: Balanced Instability,Ультимейт: Сбалансированная Нестабильность
Balanced Instability,Balanced Instability,Сбалансированная Нестабильность
Yellow_Balanced_Instability,Balanced Instability,Сбалансированная Нестабильность
"Time to change the pacing!","Time to change the pacing!","Время сменить темп!"
YELLOW_TIME_WARP_1,"SEN and SPD +6 for 3 turns.\nDeal yellow damage(100% ATK) to all enemies. CD of all other skills is nullified and their cost is reduced for this turn by 1(can't go lower than 1).","SEN и SPD +6 на 3 хода.\nНанесите желтый урон(100% ATK) всем врагам. CD всех остальных навыков обнуляется и их стоимость понижается на 1 на этот ход(не ниже 1)."
YELLOW_TIME_WARP_2,"SEN and SPD +8 for 3 turns.\nDeal yellow damage(120% ATK) to all enemies. CD of all other skills is nullified and their cost is reduced for this turn by 1(can't go lower than 1).","SEN и SPD +8 на 3 хода.\nНанесите желтый урон(120% ATK) всем врагам. CD всех остальных навыков обнуляется и их стоимость понижается на 1 на этот ход(не ниже 1)."
YELLOW_TIME_WARP_3,"SEN and SPD +11 for 4 turns.\nDeal yellow damage(140% ATK) to all enemies. CD of all other skills is nullified and their cost is reduced for this turn by 2(can't go lower than 1).","SEN и SPD +11 на 4 хода.\nНанесите желтый урон(140% ATK) всем врагам. CD всех остальных навыков обнуляется и их стоимость понижается на 2 на этот ход(не ниже 1)."
YELLOW_TIME_WARP_4,"SEN and SPD +15 for 4 turns.\nDeal yellow damage(160% ATK) to all enemies. CD of all other skills is nullified and their cost is reduced for this turn by 2(can't go lower than 1).","SEN и SPD +15 на 4 хода.\nНанесите желтый урон(160% ATK) всем врагам. CD всех остальных навыков обнуляется и их стоимость понижается на 2 на этот ход(не ниже 1)."
YELLOW_TIME_WARP_5,"SEN and SPD +20 for 5 turns.\nDeal yellow damage(200% ATK) to all enemies. CD of all other skills is nullified and their cost is reduced for this turn by 3(can't go lower than 1).","SEN и SPD +20 на 5 хода.\nНанесите желтый урон(200% ATK) всем врагам. CD всех остальных навыков обнуляется и их стоимость понижается на 3 на этот ход(не ниже 1)."
Ultimate: Time Warp,Ultimate: Time Warp,Ультимейт: Искривление Времени
Time Warp,Time Warp,Искривление Времени
Yellow_Time_Warp,Time Warp,Искривление Времени
"Enough with repetition of this all!","Enough with repetition of this all!","С меня хватит всех этих повторений!"
GREEN_HEALING_1,"Restore 400% END HP.","Восстановите 400% END ХП."
GREEN_HEALING_2,"Restore 500% END HP.","Восстановите 500% END ХП."
